bug_id,duplicate
1703693,NO
1701084,NO
1711297,NO
1691483,NO
1710189,1709106
1690945,NO
1686699,1684664
1699961,1699864
1687587,NO
1686841,NO
1710837,1705877
1692834,1395002
1704842,NO
1685390,NO
1704856,NO
1705590,1697436
1695197,NO
1688878,NO
1706099,1701389
1697780,1696518
1710823,469441
1686855,NO
1690789,NO
1706927,NO
1690951,1684664
1684924,1683487
1695829,NO
1702599,NO
1703877,NO
1695801,NO
1692808,1468033
1688850,NO
1701906,NO
1689596,NO
1688688,NO
1688844,NO
1699791,NO
1697964,NO
1701912,NO
1689582,NO
1699949,1605473
1686869,NO
1684918,NO
1695815,NO
1703863,NO
1708936,1703033
1691440,NO
1690986,NO
1700359,NO
1698302,NO
1697031,NO
1706728,1691561
1688111,NO
1693257,NO
1705221,NO
1694538,NO
1695626,1593343
1692149,NO
1685353,NO
1713325,NO
1704659,NO
1695140,NO
1702228,NO
1705547,NO
1708063,NO
1709369,NO
1711526,NO
1698470,1698438
1697743,NO
1707344,NO
1691332,NO
1710638,NO
1685347,NO
1693525,NO
1712749,NO
1703644,NO
1685421,NO
1691454,NO
1690992,1692569
1697025,NO
1701053,NO
1688105,NO
1684717,1675414
1702572,NO
1694504,NO
1704103,NO
1708739,NO
1686100,NO
1710176,NO
1700365,NO
1709427,NO
1690762,NO
1706714,1702548
1687578,1663533
1709341,NO
1690004,1689789
1700403,1700476
1696475,NO
1710610,NO
1689555,NO
1712007,1502814
1704671,NO
1692607,NO
1694276,NO
1702200,NO
1690010,1478347
1696461,NO
1700417,NO
1688887,NO
1710604,1703438
1707378,1692685
1689541,NO
1686114,NO
1691468,NO
1689227,NO
1696307,NO
1700371,NO
1697019,NO
1709433,NO
1688139,NO
1706700,NO
1690776,NO
1705209,NO
1712775,NO
1694510,NO
1703678,NO
1692161,NO
1695381,NO
1704498,1697222
1705786,1701443
1697596,NO
1700826,NO
1696850,1684664
1707191,NO
1696688,NO
1700198,NO
1691681,NO
1691859,NO
1702957,NO
1685838,NO
1693082,NO
1712588,NO
1694935,NO
1691695,NO
1701292,NO
1697582,NO
1700832,NO
1707185,NO
1698869,NO
1687949,NO
1685186,594401
1689794,NO
1698841,NO
1693914,NO
1685810,NO
1691865,NO
1707807,1706219
1685804,NO
1694909,NO
1705976,NO
1696878,NO
1699593,NO
1687975,NO
1686458,NO
1691124,1546720
1707152,NO
1699578,NO
1701523,NO
1697555,NO
1696893,NO
1711730,1644159
1688475,NO
1695342,NO
1685151,1685737
1693055,NO
1709619,NO
1711056,NO
1688313,1664383
1701245,NO
1698100,NO
1711042,NO
1687034,NO
1690548,NO
1688307,NO
1701251,1701379
1698114,NO
1696139,1536756
1689019,NO
1707620,1701544
1702980,NO
1685623,NO
1695430,NO
1705037,1704287
1693041,NO
1705751,NO
1693727,1398528
1705989,NO
1695356,NO
1703320,NO
1713133,NO
1708275,NO
1700629,NO
1697541,NO
1701537,NO
1711724,NO
1687752,NO
1696887,NO
1706258,NO
1712205,1712193
1702016,NO
1694060,NO
1691118,1679933
1686464,1471001
1699544,NO
1696677,NO
1697569,NO
1690206,NO
1709143,NO
1690560,NO
1706516,NO
1709625,NO
1699222,NO
1700167,NO
1696111,NO
1695418,1684520
1702770,NO
1694706,1682162
1693069,NO
1704315,NO
1692363,1684261
1706502,1706463
1687008,NO
1709631,NO
1698128,NO
1699236,NO
1696105,NO
1710360,NO
1686316,NO
1686470,NO
1699550,NO
1711718,NO
1709157,NO
1712211,NO
1694074,1507582
1702002,NO
1704473,NO
1692405,NO
1693684,NO
1687829,NO
1701494,437846
1689804,NO
1707783,1706039
1695593,NO
1702823,NO
1685780,NO
1705194,NO
1685958,NO
1702837,NO
1694841,1694650
1705180,NO
1694699,NO
1691939,NO
1687183,NO
1706489,NO
1707797,NO
1700946,NO
1696930,NO
1690399,NO
1701480,NO
1702189,NO
1693690,NO
1713084,NO
1693848,NO
1711863,NO
1687815,NO
1696918,1696919
1689838,1681153
1693860,NO
1685964,NO
1691911,NO
1709792,NO
1689186,NO
1699395,NO
1691905,NO
1689192,1643789
1699381,NO
1705802,1705794
1698921,1711519
1687632,1686134
1700991,NO
1701457,NO
1698712,NO
1707026,1678774
1691050,NO
1692559,NO
1685025,1669823
1703240,NO
1693647,NO
1702638,NO
1703526,NO
1685743,1661582
1689179,NO
1707740,NO
1691736,1666369
1698074,NO
1707998,1707365
1687154,NO
1710228,1710829
1691722,NO
1707754,NO
1709779,1688005
1687140,1639376
1711136,NO
1693135,NO
1703532,NO
1694882,NO
1685031,NO
1713047,NO
1703254,NO
1687626,NO
1697435,1697345
1698706,NO
1686538,NO
1692565,NO
1702162,1692142
1690372,NO
1711678,NO
1709037,NO
1699430,NO
1696703,1696628
1700775,NO
1689623,NO
1708329,NO
1686510,NO
1696065,NO
1700013,NO
1698048,NO
1706462,1706775
1692203,NO
1693109,1593367
1702610,NO
1694666,1677653
1695578,NO
1704261,NO
1707768,NO
1710214,NO
1700007,NO
1696071,NO
1701319,NO
1690400,NO
1709745,NO
1690366,NO
1706310,1701324
1697409,1691208
1699424,NO
1700761,NO
1696717,NO
1691078,NO
1710572,1710323
1692571,NO
1704507,NO
1703268,NO
1694100,NO
1705619,NO
1705396,NO
1712832,NO
1695791,NO
1690831,NO
1707581,NO
1687395,NO
1697186,1697144
1697838,NO
1700588,1693197
1693486,NO
1704936,NO
1692940,NO
1712198,NO
1710957,NO
1711491,NO
1691285,NO
1690825,NO
1706853,NO
1707595,NO
1697192,NO
1684688,NO
1685596,NO
1695785,NO
1712826,NO
1699197,NO
1689384,1689789
1695975,NO
1684878,NO
1699829,1663533
1697804,NO
1688924,NO
1688930,NO
1692968,NO
1695961,NO
1699183,NO
1708842,NO
1711320,1711318
1699168,NO
1706884,NO
1708671,NO
1684887,NO
1695752,NO
1703724,NO
1712629,NO
1693323,NO
1705433,NO
1693445,1710400
1692983,NO
1695034,NO
1691252,NO
1710758,NO
1708117,NO
1698510,NO
1697623,NO
1688703,NO
1687430,NO
1691246,1680534
1707230,1484185
1696529,NO
1698504,NO
1697637,1697567
1690158,NO
1688717,NO
1687424,NO
1705427,NO
1702348,NO
1692997,NO
1703056,NO
1695020,NO
1704739,NO
1685555,NO
1713523,NO
1684893,NO
1705341,NO
1688071,NO
1711334,1707819
1698262,NO
1706890,NO
1700239,1702013
1691520,NO
1707556,NO
1708665,NO
1694470,NO
1702406,NO
1706660,NO
1690616,1704541
1697179,NO
1696267,NO
1700211,NO
1699154,NO
1710002,NO
1686074,1679182
1691508,NO
1690170,NO
1693479,NO
1694316,NO
1702360,NO
1692767,65574
1712167,NO
1692773,NO
1713279,NO
1686706,NO
1689435,NO
1699626,NO
1687418,1538451
1690164,1696937
1706112,NO
1711308,1711318
1708881,NO
1699140,NO
1708659,NO
1710016,NO
1689353,1658924
1692015,NO
1704063,1704016
1685569,NO
1694464,NO
1712601,NO
1706113,1444567
1690165,NO
1687419,NO
1698539,NO
1699627,NO
1700562,NO
1686707,NO
1692772,NO
1694303,NO
1702375,NO
1712600,1708745
1702413,NO
1704062,NO
1689352,1684664
1708658,NO
1708880,NO
1706675,NO
1690603,NO
1686075,1677866
1699155,NO
1700210,NO
1696266,NO
1688058,224085
1706661,NO
1709552,NO
1712614,NO
1692000,NO
1692766,NO
1704710,NO
1695009,1695697
1702361,NO
1712172,NO
1690171,NO
1706107,NO
1701668,NO
1700576,1700525
1696500,NO
1689420,NO
1710765,NO
1704738,NO
1695021,NO
1703057,NO
1692996,NO
1705426,NO
1711453,NO
1687425,NO
1688716,NO
1697636,NO
1710995,NO
1696528,NO
1701898,266434
1689408,NO
1707557,NO
1700238,NO
1706891,NO
1701126,1675837
1711335,NO
1706649,NO
1705340,NO
1693336,NO
1694459,NO
1695747,NO
1703731,NO
1713522,NO
1693322,NO
1703725,NO
1685540,NO
1708670,NO
1691535,NO
1707543,NO
1697144,NO
1687357,NO
1687431,NO
1711447,NO
1710981,NO
1697622,NO
1698511,NO
1710759,1696786
1708116,NO
1691253,NO
1703043,NO
1695035,NO
1692982,NO
1693444,NO
1692969,NO
1688931,NO
1697811,NO
1701867,NO
1690818,NO
1703902,NO
1695974,NO
1698288,1694679
1708857,NO
1709591,NO
1688925,NO
1701873,NO
1699828,NO
1686908,1634920
1691284,1391654
1711490,NO
1699800,NO
1701683,NO
1710956,NO
1686920,NO
1704923,NO
1693493,NO
1713287,NO
1703094,1703093
1712827,NO
1684851,NO
1695784,NO
1684689,NO
1687380,NO
1707594,NO
1690824,NO
1697187,NO
1687394,NO
1690830,137688
1706846,NO
1695790,NO
1684845,1683194
1712833,NO
1695948,1691561
1692941,NO
1693487,NO
1713293,NO
1703080,1645211
1700589,NO
1688919,NO
1697839,NO
1691290,1691285
1711484,NO
1699814,NO
1699343,NO
1710215,NO
1707769,NO
1692216,NO
1695579,NO
1694667,1686396
1702611,NO
1693108,NO
1694101,NO
1692570,NO
1686505,NO
1691079,NO
1689636,NO
1700760,NO
1697408,NO
1709022,NO
1706311,1650635
1690367,NO
1686511,1686509
1689622,NO
1709036,NO
1690373,NO
1712370,NO
1704512,NO
1685018,1685636
1712416,NO
1687169,1635451
1709750,NO
1690415,NO
1706463,NO
1700012,NO
1696064,NO
1699357,1693866
1710201,NO
1694883,NO
1685756,NO
1705142,NO
1693134,NO
1688272,NO
1698061,1420777
1701324,NO
1707755,1608807
1691723,NO
1708466,NO
1686539,NO
1708300,NO
1699419,NO
1711889,NO
1698707,NO
1711651,NO
1700984,NO
1712358,NO
1705624,NO
1695223,NO
1685030,NO
1694129,NO
1695237,1667776
1685024,NO
1691051,NO
1707027,1621819
1708314,NO
1700748,NO
1698713,1698676
1697420,NO
1688500,NO
1700990,NO
1688266,NO
1711123,NO
1707999,1701461
1697346,NO
1696058,NO
1707741,NO
1708472,NO
1685742,NO
1694897,NO
1702639,1678856
1705156,NO
1699380,NO
1708499,1707120
1689193,1630132
1709787,NO
1691904,1392106
1698920,NO
1693861,NO
1705817,NO
1689839,NO
1696919,NO
1687814,NO
1699394,NO
1689187,1685427
1709963,1414833
1706488,NO
1691938,NO
1697391,NO
1705181,NO
1694840,NO
1685795,NO
1703296,NO
1693849,NO
1693691,NO
1689811,1689807
1690398,NO
1696931,NO
1700947,1717862
1691086,NO
1689805,NO
1691092,NO
1710598,NO
1687828,NO
1693685,NO
1705195,NO
1695592,NO
1709977,NO
1707782,NO
1686317,NO
1689024,NO
1700172,NO
1699237,NO
1698129,NO
1687009,NO
1690575,NO
1702765,NO
1692362,NO
1692404,1700640
1685178,NO
1712210,NO
1700614,NO
1696662,NO
1699551,NO
1708248,NO
1710407,NO
1689742,NO
1709142,NO
1690207,NO
1697568,1697551
1696676,NO
1699545,NO
1710413,NO
1686465,NO
1698883,NO
1704466,NO
1702017,NO
1693068,NO
1712562,NO
1694707,NO
1704300,1704274
1692376,NO
1686303,1687535
1707609,1704982
1696110,NO
1700166,NO
1699223,1661862
1701278,NO
1709624,NO
1690561,NO
1705036,NO
1695431,NO
1702981,NO
1689018,NO
1707621,NO
1701250,NO
1688306,NO
1706259,NO
1711725,NO
1701536,NO
1697540,1623227
1713132,NO
1692438,NO
1705750,NO
1713126,NO
1705744,NO
1693732,NO
1688474,NO
1711731,NO
1687747,NO
1697554,1697551
1699579,NO
1707153,NO
1691125,NO
1686459,NO
1708260,NO
1707635,NO
1710349,NO
1701244,NO
1688312,NO
1711057,NO
1687021,NO
1705022,NO
1693054,1693045
1685636,NO
1685805,1684310
1707806,NO
1711902,NO
1689781,NO
1698854,NO
1696879,NO
1705977,NO
1705963,1601989
1699586,NO
1698698,NO
1691864,NO
1685811,NO
1701293,NO
1703484,NO
1694934,67421
1712589,1710524
1693083,1686681
1705793,NO
1687948,NO
1698868,1695292
1700833,NO
1696845,NO
1687790,NO
1689965,NO
1697583,NO
1707190,NO
1687784,NO
1689971,1689107
1697597,NO
1705787,NO
1704499,NO
1703490,NO
1694920,NO
1693097,1684664
1691858,NO
1701287,NO
1711094,NO
1691680,1691430
1709803,NO
1686673,NO
1710605,NO
1688886,NO
1700416,NO
1696460,NO
1702201,NO
1694277,NO
1692606,1692698
1704116,NO
1702567,NO
1694511,NO
1684702,NO
1705208,NO
1709432,NO
1697018,NO
1699035,NO
1696306,NO
1691469,NO
1689226,1687574
1686115,1643339
1699021,NO
1700364,NO
1689232,NO
1710177,NO
1685408,NO
1704102,NO
1692174,NO
1694505,NO
1702573,NO
1684716,NO
1712006,NO
1694263,NO
1702215,NO
1689554,NO
1688892,NO
1699747,NO
1698459,1697559
1706073,NO
1687579,1644147
1709340,1665576
1704894,NO
1685346,NO
1708076,NO
1686897,1686307
1701734,NO
1697742,NO
1711527,1692900
1688104,NO
1697024,NO
1699009,1382162
1690993,NO
1708710,NO
1691455,1687562
1707423,NO
1685420,NO
1693242,NO
1692148,NO
1713442,NO
1685434,NO
1703651,NO
1703889,NO
1711255,1698138
1687223,NO
1706729,NO
1697030,NO
1701046,NO
1698303,NO
1700358,NO
1690987,NO
1708704,NO
1707437,NO
1691441,NO
1689568,NO
1691327,NO
1696448,NO
1697756,NO
1686883,1609162
1698465,1698514
1687545,NO
1690039,1631554
1693530,NO
1704880,NO
1695141,NO
1704658,NO
1685352,NO
1686868,NO
1709397,1484928
1701913,NO
1699790,NO
1688845,NO
1708937,NO
1684919,NO
1703876,NO
1690978,NO
1708923,1682439
1688689,NO
1709383,NO
1689597,NO
1688851,NO
1699784,NO
1692809,NO
1686854,NO
1710822,NO
1697781,NO
1706098,NO
1685385,NO
1705591,1700634
1692821,NO
1694288,NO
1703686,1700775
1684925,1685502
1712953,NO
1690950,NO
1706926,1705272
1691496,NO
1701091,1708681
1691482,1493258
1711296,NO
1701085,NO
1693295,NO
1712947,NO
1684931,NO
1703692,NO
1685391,NO
1692835,NO
1697795,NO
1687586,NO
1699960,NO
1701093,1701056
1708909,NO
1691494,1646289
1712789,NO
1692823,NO
1705593,NO
1695194,NO
1707384,NO
1687590,1687591
1697783,NO
1710820,NO
1686856,NO
1696489,NO
1701939,1494016
1699962,1497038
1697797,NO
1692837,NO
1704841,NO
1705587,NO
1712945,NO
1692189,NO
1713483,1649482
1693297,NO
1703848,NO
1691480,NO
1703860,NO
1708935,NO
1706918,NO
1699792,NO
1689581,NO
1709395,1671147
1704869,NO
1688853,NO
1697973,1697359
1708921,NO
1712979,NO
1703874,NO
1705236,NO
1702559,NO
1703647,NO
1685422,NO
1708712,628646
1689218,NO
1707421,NO
1696338,NO
1690991,NO
1697026,NO
1698315,NO
1687235,NO
1690749,NO
1711525,1710235
1687553,NO
1698473,NO
1697998,NO
1692638,1674302
1713332,NO
1703121,NO
1704882,NO
1693532,NO
1705544,NO
1712038,NO
1711531,NO
1701722,NO
1697754,1558718
1698467,NO
1686659,NO
1707353,1696786
1691443,NO
1707435,NO
1697032,NO
1709418,NO
1687221,NO
1711257,NO
1688112,NO
1693254,NO
1705222,NO
1684728,NO
1703653,NO
1712986,NO
1685436,NO
1710161,NO
1686117,NO
1690775,NO
1709430,NO
1684700,NO
1702565,NO
1713468,NO
1692162,NO
1694275,NO
1706065,1102922
1690013,NO
1699989,NO
1711519,NO
1709356,NO
1688884,NO
1696462,NO
1708048,NO
1710607,NO
1690007,NO
1709342,1704347
1699745,NO
1696476,NO
1692610,NO
1702217,NO
1693268,NO
1694507,NO
1695619,1702401
1692176,NO
1704100,NO
1689230,NO
1686103,NO
1699023,NO
1700366,NO
1701078,NO
1709424,NO
1689967,NO
1697581,NO
1687792,NO
1696847,1696954
1700831,NO
1695396,NO
1705791,NO
1693081,NO
1694936,NO
1702940,NO
1703486,737884
1711082,NO
1691682,NO
1711096,NO
1693095,NO
1703492,1120684
1689973,NO
1697595,NO
1700825,NO
1687786,1687486
1686498,NO
1705975,NO
1711900,NO
1687976,1681472
1699590,NO
1707804,NO
1685807,NO
1691866,NO
1707810,NO
1700819,NO
1698842,NO
1693724,NO
1685146,NO
1707145,1699128
1710439,NO
1708276,NO
1709168,NO
1711727,NO
1687751,NO
1696884,NO
1687037,1670300
1699209,NO
1707623,NO
1686329,NO
1708510,NO
1705034,NO
1693042,NO
1702997,NO
1692348,1559448
1694739,NO
1705020,NO
1687023,NO
1711055,NO
1691899,1699233
1701246,NO
1707637,NO
1696648,1696628
1697556,NO
1690239,NO
1688476,NO
1696890,NO
1711733,1711753
1693730,NO
1703337,NO
1713124,1683396
1704458,NO
1710405,NO
1686473,NO
1707179,1670243
1689740,NO
1696660,NO
1700616,NO
1699553,1699783
1689998,NO
1706267,NO
1693718,NO
1712212,NO
1702001,NO
1695369,NO
1704470,1654536
1692360,1692284
1705008,NO
1712574,NO
1697218,1691898
1696106,1696384
1700170,NO
1686315,NO
1689026,NO
1690563,NO
1699221,NO
1708538,NO
1686301,NO
1710377,NO
1689032,NO
1702773,NO
1702015,1707408
1694063,NO
1704464,NO
1713118,NO
1686467,NO
1710411,1664121
1689754,1607713
1700602,NO
1699547,1697877
1698659,NO
1709140,1708704
1690205,NO
1711848,NO
1696933,NO
1711690,NO
1695584,NO
1685797,NO
1702834,464436
1694842,NO
1707794,NO
1697387,NO
1687194,1605234
1709975,NO
1695590,NO
1694856,1621913
1702820,NO
1705197,NO
1692599,NO
1703280,NO
1691090,NO
1696927,NO
1700951,NO
1689807,NO
1701497,288046
1693877,NO
1705801,NO
1711874,NO
1700979,1700978
1707970,NO
1709785,734643
1689191,NO
1702808,NO
1707964,NO
1709791,NO
1709949,1707882
1699396,NO
1711860,NO
1698936,NO
1703257,NO
1693888,NO
1705626,NO
1690359,NO
1698705,NO
1701440,1700101
1691047,NO
1707031,NO
1691721,NO
1708464,NO
1698063,NO
1697350,NO
1688270,NO
1687143,NO
1711135,NO
1705140,1666160
1694659,NO
1695547,NO
1692228,NO
1712428,NO
1705154,NO
1685998,NO
1695553,NO
1685740,NO
1691735,NO
1686249,NO
1698077,NO
1697344,NO
1711121,NO
1687157,NO
1688502,NO
1687631,NO
1700992,NO
1698711,NO
1693644,NO
1690365,NO
1698739,NO
1700762,NO
1699427,NO
1686507,NO
1689634,NO
1702175,NO
1712400,NO
1702613,NO
1692214,NO
1685768,NO
1710217,NO
1689152,NO
1700004,NO
1709746,NO
1686275,NO
1696066,NO
1690417,NO
1705168,NO
1694671,NO
1704276,NO
1692200,NO
1702161,NO
1706307,NO
1690371,NO
1699433,NO
1710565,1672859
1707019,1678774
1689620,NO
1690826,NO
1697191,NO
1694498,NO
1685595,NO
1695786,NO
1684853,1684457
1712825,NO
1713285,NO
1693491,NO
1692957,NO
1710954,NO
1701681,1426385
1690198,NO
1699802,NO
1701859,NO
1691286,NO
1701695,NO
1686936,NO
1711486,NO
1691292,1685463
1703082,NO
1713291,1712874
1704935,NO
1692943,NO
1712831,NO
1684847,1682984
1695792,NO
1706844,NO
1686088,NO
1707582,NO
1708869,NO
1703914,NO
1695962,NO
1712819,NO
1699180,NO
1689393,1688449
1708699,NO
1709587,NO
1704909,NO
1699194,NO
1688099,NO
1709593,1706597
1708855,NO
1695976,NO
1703900,NO
1685556,NO
1713520,NO
1684648,NO
1687341,NO
1711337,NO
1688072,NO
1701124,1699864
1697152,NO
1691523,NO
1707555,NO
1707233,NO
1699619,NO
1710997,NO
1698507,1698506
1687427,NO
1705424,NO
1703055,NO
1695023,1415923
1685230,NO
1692980,NO
1695037,NO
1692758,NO
1708114,NO
1700548,NO
1710983,NO
1698513,NO
1687433,NO
1688700,NO
1711323,1711318
1697146,NO
1701130,NO
1698275,1697829
1706887,NO
1708672,NO
1689378,NO
1685542,NO
1695751,NO
1702439,NO
1693320,NO
1695989,NO
1690601,NO
1706677,NO
1709544,NO
1699143,NO
1700206,NO
1707569,NO
1689350,NO
1710015,NO
1704060,NO
1695779,NO
1712602,NO
1693308,NO
1712164,NO
1702377,NO
1703069,NO
1689436,1674280
1710773,NO
1700560,NO
1697608,NO
1690167,NO
1709222,NO
1710767,NO
1686711,NO
1699631,NO
1690173,NO
1711479,NO
1709236,NO
1712170,NO
1694315,NO
1702363,NO
1685218,NO
1704712,NO
1692764,NO
1713508,NO
1692002,NO
1694473,NO
1702405,NO
1690615,NO
1709550,NO
1698249,NO
1699157,NO
1700212,NO
1710001,1708439
1685219,1634341
1702362,NO
1711478,NO
1709237,NO
1690172,NO
1706104,NO
1700575,NO
1699630,1630132
1686710,1687077
1710000,NO
1689345,1710829
1708897,NO
1709551,NO
1706662,NO
1684661,NO
1712617,NO
1694472,NO
1692003,1689969
1704075,1431808
1694466,NO
1702410,NO
1704061,NO
1692017,NO
1686062,NO
1707568,1653191
1689351,NO
1696271,1689251
1708883,NO
1706676,NO
1709223,NO
1690166,NO
1696517,NO
1699624,NO
1689437,NO
1692771,NO
1703068,1712980
1702376,NO
1705419,NO
1712165,NO
1711444,1644085
1697621,1632639
1707226,NO
1685225,NO
1713253,NO
1695036,NO
1694328,NO
1693447,NO
1705431,NO
1695988,NO
1693321,NO
1703726,NO
1685543,NO
1704049,1632030
1689379,NO
1707540,NO
1708673,NO
1698274,1697623
1701131,1696064
1697147,NO
1690628,NO
1688067,NO
1711322,1711318
1707554,NO
1691522,NO
1697153,NO
1701125,NO
1709579,NO
1687340,NO
1693335,NO
1684891,NO
1695744,NO
1703732,NO
1713521,NO
1685557,NO
1713247,NO
1685231,NO
1695022,NO
1703054,NO
1692995,NO
1705425,NO
1693453,NO
1688715,NO
1687426,NO
1698506,NO
1697635,1704783
1699618,NO
1697806,1708008
1703901,NO
1708698,NO
1699181,NO
1712818,NO
1695963,NO
1701864,NO
1710969,NO
1713290,NO
1703083,NO
1710941,NO
1701694,NO
1697184,NO
1687397,NO
1707583,NO
1686089,NO
1690833,NO
1706845,NO
1695793,NO
1684846,NO
1685580,NO
1705394,NO
1685594,NO
1705380,NO
1694499,NO
1707597,NO
1706851,NO
1691287,NO
1699803,NO
1710955,NO
1713284,NO
1692201,1690900
1704277,1704131
1703518,NO
1702606,NO
1694670,NO
1712415,NO
1690416,NO
1706460,NO
1709753,NO
1699354,NO
1691708,NO
1689147,NO
1686274,NO
1707018,NO
1686512,NO
1710564,1710829
1699432,NO
1690370,NO
1709035,NO
1695208,NO
1692567,NO
1712367,NO
1713079,NO
1704505,NO
1692573,NO
1689635,NO
1699426,NO
1700763,NO
1706312,NO
1687618,NO
1709021,NO
1706474,1651837
1696073,NO
1700005,NO
1710216,1710829
1685769,NO
1692215,NO
1694664,1695919
1711120,NO
1697345,NO
1698076,NO
1685741,NO
1694894,NO
1703524,NO
1685999,NO
1705155,1705917
1693645,NO
1703242,NO
1695234,NO
1701455,NO
1697423,1694802
1700993,NO
1711646,NO
1688503,NO
1708303,NO
1689609,1631061
1707030,NO
1691046,NO
1697437,NO
1698704,NO
1711652,NO
1687624,NO
1700987,NO
1688517,NO
1693651,NO
1693889,NO
1704539,NO
1713045,NO
1685033,NO
1694880,1392106
1685755,NO
1695546,1658044
1703530,NO
1694658,NO
1705141,NO
1693137,NO
1711134,NO
1688271,1673778
1698062,NO
1707756,NO
1699397,NO
1689184,NO
1691913,NO
1707965,NO
1693862,NO
1705814,NO
1699383,1692881
1709784,NO
1691907,NO
1704288,1703631
1696098,NO
1687195,NO
1707959,NO
1701496,561328
1689806,NO
1700788,NO
1705828,NO
1703281,NO
1713086,NO
1712398,NO
1689812,NO
1711691,NO
1696932,NO
1707795,NO
1687181,NO
1702835,NO
1695585,NO
1694704,NO
1702772,NO
1692375,NO
1708539,NO
1686300,1686387
1696113,NO
1706514,NO
1706272,NO
1690204,NO
1709141,1700976
1699546,NO
1696675,NO
1686466,NO
1713119,NO
1692413,NO
1702014,NO
1712207,NO
1704471,NO
1702000,NO
1712213,1710619
1709155,1708878
1689999,NO
1699552,NO
1700617,NO
1707178,NO
1689741,NO
1686472,NO
1689027,NO
1686314,NO
1700171,NO
1697219,NO
1709633,1647979
1712575,NO
1702766,NO
1694710,NO
1703478,NO
1704317,NO
1691640,NO
1697231,NO
1701247,NO
1691898,NO
1687022,NO
1688311,1297592
1692349,NO
1702996,NO
1685635,NO
1704459,NO
1685153,NO
1703336,NO
1702028,1691561
1705747,NO
1711732,NO
1698664,NO
1696649,1696628
1708263,NO
1707150,1706219
1691126,NO
1696885,NO
1687988,NO
1710438,NO
1691132,1690812
1707144,1678774
1685147,NO
1713131,NO
1695354,NO
1693725,NO
1705753,NO
1693043,NO
1705035,NO
1703444,NO
1695432,NO
1685621,NO
1702982,1683321
1686328,NO
1691654,1620767
1699208,NO
1711040,NO
1699585,NO
1687963,1681698
1698843,NO
1689796,NO
1709182,NO
1699591,1697435
1687977,NO
1711901,NO
1698857,NO
1708288,NO
1693902,NO
1705974,NO
1685806,NO
1707805,NO
1709828,NO
1694923,NO
1693094,NO
1711097,NO
1709800,1710417
1711929,NO
1686499,NO
1707193,1693283
1687787,NO
1700824,NO
1697594,NO
1689972,NO
1705784,NO
1685190,NO
1695383,NO
1694089,NO
1685184,NO
1707187,NO
1700830,NO
1696846,NO
1687793,NO
1706299,NO
1697580,NO
1689966,NO
1707839,NO
1711083,NO
1703487,NO
1705579,NO
1702216,NO
1703108,NO
1704667,1705155
1692611,NO
1686664,NO
1689557,NO
1697769,NO
1688649,NO
1690006,NO
1706716,NO
1700367,NO
1699022,NO
1710174,NO
1686102,NO
1707408,NO
1689231,NO
1704101,NO
1692177,NO
1694506,NO
1702570,NO
1693269,NO
1712763,NO
1704115,NO
1713469,NO
1702564,NO
1694512,NO
1712777,NO
1709431,1709106
1690774,NO
1698328,NO
1696305,NO
1699036,NO
1686670,NO
1710606,NO
1696463,NO
1688885,NO
1709357,NO
1702202,NO
1704673,NO
1685379,NO
1707352,NO
1691324,1684664
1686658,NO
1708061,NO
1699778,1693605
1701723,NO
1712039,NO
1704883,NO
1713327,NO
1685351,NO
1713441,NO
1685437,NO
1705223,NO
1711256,1698138
1687220,NO
1690984,NO
1707434,NO
1691442,NO
1710148,NO
1687234,NO
1711242,NO
1701051,NO
1697027,NO
1690990,NO
1696339,1694670
1691456,NO
1707420,NO
1704129,NO
1703646,NO
1702558,NO
1693241,NO
1705237,NO
1693527,NO
1705551,NO
1694248,NO
1704897,NO
1703120,1673179
1695156,NO
1685345,NO
1713333,NO
1692639,NO
1708075,NO
1686894,NO
1697741,NO
1687552,NO
1711524,NO
1698499,NO
1709380,NO
1701904,NO
1688852,1687125
1699787,NO
1708920,1562340
1706919,NO
1708934,NO
1703861,NO
1695817,NO
1704868,NO
1709394,NO
1701910,NO
